"image_id","camera","longitude","latitude","date","month","year","season","time_period","veg_type","human_structure","distance_human_m","water_type","distance_water_m","species","species_count","percentage_resting","percentage_standing","percentage_moving","percentage_eating","percentage_interacting","young_present","horns","image_url"
"765302","D45","34.6179","-18.9558","2014-07-19","Jul","2014","Dry Jul-Sep","Night 1736-0556","Limestone Gorge","School","5349","River","250","Genet","1","0","0.0833333333333","0.0833333333333","0","0","false","0","http://zooniverse-export.s3-website-us-east-1.amazonaws.com/21484_1000_D45_Season%202_Set%201_EK000758.JPG"
"765303","D45","34.6179","-18.9558","2014-07-19","Jul","2014","Dry Jul-Sep","Night 1736-0556","Limestone Gorge","School","5349","River","250","Genet","1","0","0.142857142857","0.142857142857","0","0","false","0","http://zooniverse-export.s3-website-us-east-1.amazonaws.com/21484_1000_D45_Season%202_Set%201_EK000756.JPG"
"765314","D25","34.6167","-18.9589","2014-07-17","Jul","2014","Dry Jul-Sep","Night 1736-0556","Limestone Gorge","School","5343","River","89","Warthog","1","0.05","0.05","0.05","0.05","0.05","true","0","http://zooniverse-export.s3-website-us-east-1.amazonaws.com/21484_1000_D25_Season%202_Set%201_EK006361.JPG"
"765315","D23","34.6172","-18.9591","2014-07-17","Jul","2014","Dry Jul-Sep","Night 1736-0556","Limestone Gorge","School","5385","River","81","Bushbuck","1","0","0.0714285714286","0.0714285714286","0","0","true","0","http://zooniverse-export.s3-website-us-east-1.amazonaws.com/21484_1000_D23_Season%202_Set%201_EK000266.JPG"
"765318","D23","34.6172","-18.9591","2014-07-17","Jul","2014","Dry Jul-Sep","Night 1736-0556","Limestone Gorge","School","5385","River","81","Duiker","1","0","0","0.1","0","0","false","0","http://zooniverse-export.s3-website-us-east-1.amazonaws.com/21484_1000_D23_Season%202_Set%201_EK000262.JPG"
"765319","D45","34.6179","-18.9558","2014-07-17","Jul","2014","Dry Jul-Sep","Day 0623-1709","Limestone Gorge","School","5349","River","250","Genet","1","0","0","0.0769230769231","0","0","false","0","http://zooniverse-export.s3-website-us-east-1.amazonaws.com/21484_1000_D45_Season%202_Set%201_EK000732.JPG"
"765320","D45","34.6179","-18.9558","2014-07-17","Jul","2014","Dry Jul-Sep","Day 0623-1709","Limestone Gorge","School","5349","River","250","Genet","1","0","0.0714285714286","0.0714285714286","0","0","true","0","http://zooniverse-export.s3-website-us-east-1.amazonaws.com/21484_1000_D45_Season%202_Set%201_EK000730.JPG"
"765330","D23","34.6172","-18.9591","2014-07-17","Jul","2014","Dry Jul-Sep","Day 0623-1709","Limestone Gorge","School","5385","River","81","Bushbuck","1","0","0.0526315789474","0.0526315789474","0.0526315789474","0","false","0","http://zooniverse-export.s3-website-us-east-1.amazonaws.com/21484_1000_D23_Season%202_Set%201_EK000257.JPG"
"765333","D23","34.6172","-18.9591","2014-07-17","Jul","2014","Dry Jul-Sep","Day 0623-1709","Limestone Gorge","School","5385","River","81","Bushbuck","1","0.1","0","0.1","0","0","false","0","http://zooniverse-export.s3-website-us-east-1.amazonaws.com/21484_1000_D23_Season%202_Set%201_EK000253.JPG"
"765336","D45","34.6179","-18.9558","2014-07-17","Jul","2014","Dry Jul-Sep","Day 0623-1709","Limestone Gorge","School","5349","River","250","Duiker","1","0","0.1","0.1","0","0","false","0","http://zooniverse-export.s3-website-us-east-1.amazonaws.com/21484_1000_D45_Season%202_Set%201_EK000729.JPG"
"765337","D45","34.6179","-18.9558","2014-07-17","Jul","2014","Dry Jul-Sep","Day 0623-1709","Limestone Gorge","School","5349","River","250","Bushbuck","1","0","0","0.1","0","0","true","0","http://zooniverse-export.s3-website-us-east-1.amazonaws.com/21484_1000_D45_Season%202_Set%201_EK000728.JPG"
"765339","D45","34.6179","-18.9558","2014-07-17","Jul","2014","Dry Jul-Sep","Day 0623-1709","Limestone Gorge","School","5349","River","250","Duiker","1","0","0","0.0769230769231","0","0","false","0","http://zooniverse-export.s3-website-us-east-1.amazonaws.com/21484_1000_D45_Season%202_Set%201_EK000727.JPG"
"765350","D46","34.6105","-18.9551","2014-07-17","Jul","2014","Dry Jul-Sep","Day 0623-1709","Limestone Gorge","School","4561","River","26","Elephant","1","0","0.0454545454545","0.0454545454545","0.0454545454545","0","true","0","http://zooniverse-export.s3-website-us-east-1.amazonaws.com/21484_1000_D46_Season%202_Set%201_EK000206.JPG"
"765357","D45","34.6179","-18.9558","2014-07-24","Jul","2014","Dry Jul-Sep","Day 0623-1709","Limestone Gorge","School","5349","River","250","Duiker","1","0","0","0.2","0","0","false","0","http://zooniverse-export.s3-website-us-east-1.amazonaws.com/21484_1000_D45_Season%202_Set%201_EK000814.JPG"
"765358","D45","34.6179","-18.9558","2014-07-24","Jul","2014","Dry Jul-Sep","Day 0623-1709","Limestone Gorge","School","5349","River","250","Duiker","1","0","0.0666666666667","0.0666666666667","0","0","false","0","http://zooniverse-export.s3-website-us-east-1.amazonaws.com/21484_1000_D45_Season%202_Set%201_EK000811.JPG"
